,event_date,year,time_precision,event_type,inter1,interaction,latitude,longitude,geo_precision,fatalities,timestamp,timestampcon,newtimestamp
1440,30 April 2015,2015,1,Battle-No change of territory,1,14,8.7333,10.5333,1,6,1524053920,2015-04-30,1430352000.0
1442,30 April 2015,2015,1,Riots/Protests,6,60,7.3878,3.8964,1,0,1523534006,2015-04-30,1430352000.0
1443,29 April 2015,2015,1,Battle-No change of territory,1,12,11.25,13.4167,1,10,1524053921,2015-04-29,1430265600.0
1445,29 April 2015,2015,1,Riots/Protests,6,60,4.9667,8.3333,3,0,1524053921,2015-04-29,1430265600.0
1446,29 April 2015,2015,1,Riots/Protests,5,50,9.0833,7.5333,1,0,1518765567,2015-04-29,1430265600.0
1447,29 April 2015,2015,1,Riots/Protests,5,50,12.7433,4.5269,1,0,1518765567,2015-04-29,1430265600.0
1448,28 April 2015,2015,1,Battle-No change of territory,3,33,6.335,5.6275,1,5,1518765567,2015-04-28,1430179200.0
1450,27 April 2015,2015,1,Violence against civilians,3,37,7.5456,6.2538,1,5,1518765567,2015-04-27,1430092800.0
1452,27 April 2015,2015,1,Violence against civilians,3,37,5.4832,5.7346,2,1,1524053921,2015-04-27,1430092800.0
1454,27 April 2015,2015,1,Violence against civilians,2,27,13.1427,11.98,1,21,1524053921,2015-04-27,1430092800.0
1456,27 April 2015,2015,1,Riots/Protests,5,50,5.4832,5.7346,2,0,1524053921,2015-04-27,1430092800.0
1457,27 April 2015,2015,1,Riots/Protests,6,60,6.4167,2.8833,1,0,1518765567,2015-04-27,1430092800.0
1458,27 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-27,1430092800.0
1459,25 April 2015,2015,1,Battle-No change of territory,1,14,9.6333,8.7667,2,4,1524053921,2015-04-25,1429920000.0
1461,25 April 2015,2015,1,Violence against civilians,3,37,8.9,6.9167,1,1,1518765567,2015-04-25,1429920000.0
1463,25 April 2015,2015,1,Battle-No change of territory,4,44,7.8155,8.8604,2,5,1518765567,2015-04-25,1429920000.0
1465,25 April 2015,2015,1,Battle-No change of territory,4,44,7.95,8.6167,1,5,1518765567,2015-04-25,1429920000.0
1467,24 April 2015,2015,1,Battle-Non-state actor overtakes territory,1,12,12.4238,13.9248,1,5,1524053921,2015-04-24,1429833600.0
1469,24 April 2015,2015,1,Battle-Non-state actor overtakes territory,1,12,12.3611,13.8246,1,5,1524053921,2015-04-24,1429833600.0
1471,24 April 2015,2015,1,Violence against civilians,4,47,5.1066,7.3667,1,1,1518765567,2015-04-24,1429833600.0
1473,23 April 2015,2015,1,Battle-No change of territory,1,12,12.4238,13.9248,1,5,1524053921,2015-04-23,1429747200.0
1475,23 April 2015,2015,1,Battle-No change of territory,1,12,12.3611,13.8246,1,5,1524053921,2015-04-23,1429747200.0
1477,23 April 2015,2015,1,Violence against civilians,4,47,6.5164,3.2549,1,0,1518765567,2015-04-23,1429747200.0
1479,22 April 2015,2015,1,Riots/Protests,6,60,7.4913,5.2323,1,0,1518765567,2015-04-22,1429660800.0
1480,22 April 2015,2015,1,Remote violence,1,12,11.25,13.4167,1,4,1524053921,2015-04-22,1429660800.0
1482,22 April 2015,2015,1,Riots/Protests,6,60,4.5484,8.0127,1,0,1518765567,2015-04-22,1429660800.0
1483,22 April 2015,2015,1,Violence against civilians,3,37,4.7741,6.3269,2,0,1524053921,2015-04-22,1429660800.0
1485,22 April 2015,2015,1,Riots/Protests,6,60,9.6139,6.5569,1,0,1518765567,2015-04-22,1429660800.0
1486,22 April 2015,2015,1,Battle-No change of territory,1,13,7.1694,9.2847,1,1,1524053921,2015-04-22,1429660800.0
1488,22 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-22,1429660800.0
1489,21 April 2015,2015,1,Violence against civilians,5,57,8.5,4.55,1,0,1518765567,2015-04-21,1429574400.0
1491,21 April 2015,2015,1,Violence against civilians,3,37,9.4667,8.3833,2,1,1524053921,2015-04-21,1429574400.0
1493,21 April 2015,2015,1,Riots/Protests,6,60,10.3134,9.8433,1,0,1518765567,2015-04-21,1429574400.0
1494,21 April 2015,2015,1,Riots/Protests,6,60,6.4426,7.5022,1,0,1518765567,2015-04-21,1429574400.0
1495,21 April 2015,2015,1,Remote violence,1,12,13.0947,13.8234,1,2,1524053921,2015-04-21,1429574400.0
1497,21 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-21,1429574400.0
1498,21 April 2015,2015,1,Battle-No change of territory,1,12,10.8583,12.2005,1,10,1524053921,2015-04-21,1429574400.0
1500,21 April 2015,2015,1,Riots/Protests,5,50,9.0833,7.5333,1,0,1518765567,2015-04-21,1429574400.0
1501,20 April 2015,2015,1,Violence against civilians,2,27,11.7091,11.0694,1,10,1524053921,2015-04-20,1429488000.0
1503,20 April 2015,2015,1,Violence against civilians,4,47,7.7167,10.05,2,15,1524053921,2015-04-20,1429488000.0
1505,20 April 2015,2015,1,Riots/Protests,6,60,6.335,5.6275,1,0,1518765567,2015-04-20,1429488000.0
1506,20 April 2015,2015,1,Riots/Protests,5,50,9.0833,7.5333,1,0,1518765567,2015-04-20,1429488000.0
1507,20 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-20,1429488000.0
1508,19 April 2015,2015,1,Remote violence,1,13,11.7091,11.0694,1,2,1524053921,2015-04-19,1429401600.0
1510,19 April 2015,2015,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1524053921,2015-04-19,1429401600.0
1511,19 April 2015,2015,1,Remote violence,1,12,13.0947,13.8234,1,0,1524053921,2015-04-19,1429401600.0
1513,18 April 2015,2015,2,Violence against civilians,3,37,4.7416,7.0849,1,2,1518765567,2015-04-18,1429315200.0
1515,18 April 2015,2015,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1518765567,2015-04-18,1429315200.0
1516,18 April 2015,2015,2,Violence against civilians,3,37,4.7860000000000005,7.1269,2,2,1518765567,2015-04-18,1429315200.0
1518,18 April 2015,2015,1,Violence against civilians,3,37,5.074,6.6535,2,0,1518765567,2015-04-18,1429315200.0
1520,17 April 2015,2015,1,Battle-No change of territory,4,34,6.5263,3.3571,1,0,1518765567,2015-04-17,1429228800.0
1522,17 April 2015,2015,1,Battle-No change of territory,4,44,7.827999999999999,7.8141,2,45,1518765567,2015-04-17,1429228800.0
1524,17 April 2015,2015,1,Riots/Protests,6,60,7.621,5.2215,1,0,1524053921,2015-04-17,1429228800.0
1525,16 April 2015,2015,1,Violence against civilians,3,37,5.4899,6.0074,1,1,1524053921,2015-04-16,1429142400.0
1527,16 April 2015,2015,1,Battle-No change of territory,4,34,6.5263,3.3571,1,0,1524053921,2015-04-16,1429142400.0
1529,16 April 2015,2015,1,Riots/Protests,6,60,6.4531,3.3958,1,0,1524053921,2015-04-16,1429142400.0
1530,15 April 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1518765567,2015-04-15,1429056000.0
1531,15 April 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1524053921,2015-04-15,1429056000.0
1532,15 April 2015,2015,1,Riots/Protests,6,60,7.2526,5.1931,1,0,1518765567,2015-04-15,1429056000.0
1533,14 April 2015,2015,1,Battle-No change of territory,4,44,5.5945,5.1744,1,0,1518765567,2015-04-14,1428969600.0
1535,14 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-14,1428969600.0
1536,14 April 2015,2015,1,Riots/Protests,5,50,5.4833,7.0304,1,0,1518765567,2015-04-14,1428969600.0
1537,13 April 2015,2015,1,Riots/Protests,5,50,5.4833,7.0304,1,0,1518765567,2015-04-13,1428883200.0
1538,13 April 2015,2015,1,Battle-No change of territory,4,44,5.5945,5.1744,1,0,1518765567,2015-04-13,1428883200.0
1540,13 April 2015,2015,1,Violence against civilians,3,37,8.8833,11.3667,2,0,1524053921,2015-04-13,1428883200.0
1542,13 April 2015,2015,1,Battle-No change of territory,4,44,9.05,4.6167,1,2,1524053921,2015-04-13,1428883200.0
1544,13 April 2015,2015,1,Riots/Protests,5,55,7.2526,5.1931,1,0,1518765567,2015-04-13,1428883200.0
1546,12 April 2015,2015,1,Strategic development,4,40,8.4833,8.5167,1,0,1524053921,2015-04-12,1428796800.0
1547,12 April 2015,2015,1,Battle-No change of territory,3,33,7.4824,4.5603,1,1,1524053921,2015-04-12,1428796800.0
1549,12 April 2015,2015,1,Riots/Protests,6,60,6.2006,6.7339,1,0,1518765567,2015-04-12,1428796800.0
1550,12 April 2015,2015,1,Riots/Protests,5,50,4.7317,6.7722,2,0,1518765567,2015-04-12,1428796800.0
1551,11 April 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1518765567,2015-04-11,1428710400.0
1552,11 April 2015,2015,1,Violence against civilians,3,37,7.7411,8.5121,1,1,1518765567,2015-04-11,1428710400.0
1554,11 April 2015,2015,1,Violence against civilians,3,37,12.2616,7.3341,1,2,1524053921,2015-04-11,1428710400.0
1556,11 April 2015,2015,1,Battle-No change of territory,3,33,5.5167,5.75,1,2,1518765567,2015-04-11,1428710400.0
1558,11 April 2015,2015,1,Battle-No change of territory,3,34,5.0333,7.9266,1,2,1518765567,2015-04-11,1428710400.0
1560,11 April 2015,2015,1,Violence against civilians,3,37,5.0014,7.6017,1,1,1524053921,2015-04-11,1428710400.0
1562,11 April 2015,2015,1,Violence against civilians,3,37,6.1526,4.7946,1,0,1518765567,2015-04-11,1428710400.0
1564,11 April 2015,2015,1,Riots/Protests,5,15,11.508,7.7925,1,0,1524053921,2015-04-11,1428710400.0
1566,11 April 2015,2015,1,Riots/Protests,5,15,11.924000000000001,4.1822,2,3,1524053921,2015-04-11,1428710400.0
1568,11 April 2015,2015,1,Riots/Protests,6,60,6.5403,3.3717,1,0,1518765567,2015-04-11,1428710400.0
1569,11 April 2015,2015,1,Riots/Protests,5,15,4.8312,7.0049,1,0,1524053921,2015-04-11,1428710400.0
1571,11 April 2015,2015,1,Riots/Protests,5,55,4.8785,6.9415,1,0,1524053921,2015-04-11,1428710400.0
1573,11 April 2015,2015,1,Violence against civilians,5,57,4.8785,6.9415,1,0,1524053921,2015-04-11,1428710400.0
1575,11 April 2015,2015,1,Battle-No change of territory,1,13,4.7774,7.0134,1,1,1524053921,2015-04-11,1428710400.0
1577,11 April 2015,2015,1,Riots/Protests,5,50,4.8714,6.9334,1,0,1518765567,2015-04-11,1428710400.0
1578,11 April 2015,2015,1,Battle-No change of territory,1,11,5.4833,7.0304,1,0,1524053921,2015-04-11,1428710400.0
1580,11 April 2015,2015,1,Violence against civilians,3,37,6.7457,4.8775,1,0,1518765567,2015-04-11,1428710400.0
1582,11 April 2015,2015,1,Violence against civilians,3,37,6.5048,4.7839,1,0,1524053921,2015-04-11,1428710400.0
1584,11 April 2015,2015,1,Violence against civilians,3,37,5.3554,7.7508,2,0,1524053921,2015-04-11,1428710400.0
1586,11 April 2015,2015,1,Riots/Protests,5,50,4.8393,7.0412,2,0,1518765567,2015-04-11,1428710400.0
1587,11 April 2015,2015,1,Violence against civilians,3,37,6.5879,4.7436,1,0,1524053921,2015-04-11,1428710400.0
1589,11 April 2015,2015,1,Violence against civilians,3,37,4.9864,7.9727,1,1,1524053921,2015-04-11,1428710400.0
1591,11 April 2015,2015,1,Battle-No change of territory,1,13,9.9285,8.8921,2,1,1524053921,2015-04-11,1428710400.0
1593,11 April 2015,2015,1,Riots/Protests,5,50,4.6538,7.284,2,0,1518765567,2015-04-11,1428710400.0
1594,11 April 2015,2015,1,Riots/Protests,5,50,5.0014,6.8741,2,0,1518765567,2015-04-11,1428710400.0
1595,11 April 2015,2015,1,Violence against civilians,3,37,6.973,7.3607,1,0,1518765567,2015-04-11,1428710400.0
1597,11 April 2015,2015,1,Battle-No change of territory,3,33,7.4824,4.5603,1,2,1524053921,2015-04-11,1428710400.0
1599,11 April 2015,2015,1,Battle-No change of territory,3,33,6.5164,3.2549,1,0,1518765567,2015-04-11,1428710400.0
1601,11 April 2015,2015,1,Violence against civilians,3,37,5.1013,6.5498,1,1,1518765567,2015-04-11,1428710400.0
1603,11 April 2015,2015,1,Riots/Protests,6,60,8.8333,8.1167,1,0,1518765567,2015-04-11,1428710400.0
1604,11 April 2015,2015,1,Violence against civilians,3,37,6.2682,7.7382,1,1,1524053921,2015-04-11,1428710400.0
1606,11 April 2015,2015,1,Riots/Protests,5,50,4.7341,6.8635,1,0,1518765567,2015-04-11,1428710400.0
1607,11 April 2015,2015,1,Riots/Protests,5,55,4.6387,7.2983,1,0,1518765567,2015-04-11,1428710400.0
1609,11 April 2015,2015,1,Violence against civilians,3,37,9.6667,9.6,2,1,1518765567,2015-04-11,1428710400.0
1611,11 April 2015,2015,1,Violence against civilians,1,17,12.0294,4.1898,1,4,1524053921,2015-04-11,1428710400.0
1613,11 April 2015,2015,1,Violence against civilians,3,37,4.7855,7.8868,1,1,1524053921,2015-04-11,1428710400.0
1615,10 April 2015,2015,1,Riots/Protests,6,60,5.1911,7.8962,1,0,1524053921,2015-04-10,1428624000.0
1616,10 April 2015,2015,1,Violence against civilians,3,37,4.3151,6.2418,1,0,1524053921,2015-04-10,1428624000.0
1618,10 April 2015,2015,1,Riots/Protests,6,60,5.4833,7.0304,1,0,1518765567,2015-04-10,1428624000.0
1619,10 April 2015,2015,1,Battle-Government regains territory,1,12,10.5007,13.0845,1,0,1524053921,2015-04-10,1428624000.0
1621,10 April 2015,2015,1,Battle-Government regains territory,1,12,10.9291,13.3029,1,0,1524053921,2015-04-10,1428624000.0
1623,10 April 2015,2015,1,Riots/Protests,5,15,5.0014,6.8741,2,0,1524053921,2015-04-10,1428624000.0
1625,10 April 2015,2015,1,Violence against civilians,3,37,6.0716,8.1028,1,1,1518765567,2015-04-10,1428624000.0
1627,10 April 2015,2015,1,Battle-No change of territory,1,13,7.75,4.7167,1,0,1524053921,2015-04-10,1428624000.0
1629,10 April 2015,2015,1,Battle-Government regains territory,1,12,11.1036,13.713,2,11,1524053921,2015-04-10,1428624000.0
1631,10 April 2015,2015,1,Violence against civilians,3,37,12.4364,9.1888,1,1,1518765567,2015-04-10,1428624000.0
1633,10 April 2015,2015,1,Battle-Government regains territory,1,12,11.155999999999999,12.7576,2,0,1524053921,2015-04-10,1428624000.0
1635,10 April 2015,2015,1,Riots/Protests,6,60,4.9667,8.3333,1,0,1518765567,2015-04-10,1428624000.0
1636,10 April 2015,2015,1,Violence against civilians,3,37,4.7341,6.8635,1,5,1524053921,2015-04-10,1428624000.0
1638,10 April 2015,2015,1,Violence against civilians,3,37,9.9333,8.7333,2,2,1524053921,2015-04-10,1428624000.0
1640,10 April 2015,2015,1,Battle-Government regains territory,1,12,10.647,12.911,2,1,1524053921,2015-04-10,1428624000.0
1642,09 April 2015,2015,1,Battle-No change of territory,1,12,11.1036,13.713,2,10,1524053921,2015-04-09,1428537600.0
1644,09 April 2015,2015,1,Violence against civilians,2,27,10.7563,13.2129,1,20,1524053921,2015-04-09,1428537600.0
1646,09 April 2015,2015,1,Riots/Protests,6,60,4.9667,8.3333,1,0,1524053921,2015-04-09,1428537600.0
1647,09 April 2015,2015,1,Violence against civilians,3,37,10.6183,7.2312,1,2,1518765567,2015-04-09,1428537600.0
1649,09 April 2015,2015,1,Violence against civilians,2,27,10.9048,12.0886,1,2,1524053921,2015-04-09,1428537600.0
1651,09 April 2015,2015,1,Riots/Protests,6,60,6.4456,3.3592,1,0,1518765567,2015-04-09,1428537600.0
1652,08 April 2015,2015,2,Violence against civilians,3,37,10.6318,7.4727,1,9,1524053921,2015-04-08,1428451200.0
1654,08 April 2015,2015,1,Riots/Protests,6,60,5.8941,5.6767,1,0,1524053921,2015-04-08,1428451200.0
1655,08 April 2015,2015,2,Violence against civilians,3,37,10.8121,7.3022,1,0,1518765567,2015-04-08,1428451200.0
1657,08 April 2015,2015,1,Riots/Protests,6,60,4.7774,7.0134,1,0,1518765567,2015-04-08,1428451200.0
1658,08 April 2015,2015,1,Riots/Protests,6,60,6.1454,6.7885,1,0,1524053921,2015-04-08,1428451200.0
1659,08 April 2015,2015,1,Riots/Protests,6,60,6.0199,6.9148,1,0,1524053921,2015-04-08,1428451200.0
1660,08 April 2015,2015,1,Riots/Protests,6,60,6.0238,7.0862,1,0,1524053921,2015-04-08,1428451200.0
1661,08 April 2015,2015,1,Violence against civilians,3,37,5.7667,6.05,1,2,1523534006,2015-04-08,1428451200.0
1663,08 April 2015,2015,1,Riots/Protests,6,60,6.2101,7.0741,1,0,1524053921,2015-04-08,1428451200.0
1664,08 April 2015,2015,1,Riots/Protests,6,60,6.11,7.0724,1,0,1524053921,2015-04-08,1428451200.0
1665,07 April 2015,2015,1,Riots/Protests,6,60,5.5263,7.4896,1,0,1518765567,2015-04-07,1428364800.0
1666,07 April 2015,2015,1,Riots/Protests,5,55,7.65,4.9167,2,0,1524053921,2015-04-07,1428364800.0
1668,07 April 2015,2015,1,Riots/Protests,6,60,6.2101,7.0741,3,0,1518765567,2015-04-07,1428364800.0
1669,07 April 2015,2015,1,Riots/Protests,5,15,7.65,4.9167,1,1,1524053922,2015-04-07,1428364800.0
1671,07 April 2015,2015,1,Battle-Government regains territory,1,12,10.8583,12.2005,1,10,1524053922,2015-04-07,1428364800.0
1673,07 April 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-04-07,1428364800.0
1674,06 April 2015,2015,2,Battle-No change of territory,3,33,12.8833,7.0667,1,10,1524053922,2015-04-06,1428278400.0
1676,06 April 2015,2015,1,Violence against civilians,3,37,10.7649,7.5229,1,14,1518765567,2015-04-06,1428278400.0
1678,06 April 2015,2015,1,Riots/Protests,5,50,11.7853,7.6218,2,0,1518765567,2015-04-06,1428278400.0
1679,05 April 2015,2015,1,Violence against civilians,2,27,10.4646,12.418,1,24,1524053922,2015-04-05,1428192000.0
1681,05 April 2015,2015,1,Battle-No change of territory,4,24,10.6129,12.1946,1,1,1524053922,2015-04-05,1428192000.0
1683,04 April 2015,2015,1,Violence against civilians,2,27,11.6558,13.4213,2,4,1524053922,2015-04-04,1428105600.0
1685,04 April 2015,2015,1,Violence against civilians,3,37,5.3316,6.7027,1,1,1524053922,2015-04-04,1428105600.0
1687,03 April 2015,2015,1,Battle-Government regains territory,1,12,11.3838,12.7236,1,0,1524053922,2015-04-03,1428019200.0
1689,03 April 2015,2015,1,Battle-Government regains territory,1,12,11.35,12.5333,1,0,1524053922,2015-04-03,1428019200.0
1691,03 April 2015,2015,1,Violence against civilians,3,37,5.3852,6.6869,1,4,1518765567,2015-04-03,1428019200.0
1693,03 April 2015,2015,1,Violence against civilians,3,37,5.3948,6.6685,1,5,1518765567,2015-04-03,1428019200.0
1695,03 April 2015,2015,1,Violence against civilians,3,37,5.3948,6.6685,1,5,1518765567,2015-04-03,1428019200.0
1697,03 April 2015,2015,1,Violence against civilians,3,37,6.2675,6.3789,1,4,1518765567,2015-04-03,1428019200.0
1699,03 April 2015,2015,1,Battle-Government regains territory,1,12,11.4661,12.5895,1,0,1524053922,2015-04-03,1428019200.0
1701,03 April 2015,2015,1,Battle-No change of territory,3,23,11.6558,13.4213,2,1,1524053922,2015-04-03,1428019200.0
1703,03 April 2015,2015,1,Battle-Government regains territory,1,12,11.3152,12.4731,1,0,1524053922,2015-04-03,1428019200.0
1705,03 April 2015,2015,1,Violence against civilians,2,27,11.7454,13.2547,1,4,1524053922,2015-04-03,1428019200.0
1707,03 April 2015,2015,1,Battle-Government regains territory,1,12,10.8583,12.2005,1,12,1524053922,2015-04-03,1428019200.0
1709,02 April 2015,2015,1,Violence against civilians,4,47,7.729,9.2002,1,9,1518765567,2015-04-02,1427932800.0
1711,02 April 2015,2015,1,Violence against civilians,4,47,7.7718,9.2439,1,6,1518765567,2015-04-02,1427932800.0
1713,02 April 2015,2015,1,Violence against civilians,2,27,10.2897,11.1673,1,5,1524053922,2015-04-02,1427932800.0
1715,02 April 2015,2015,1,Violence against civilians,4,47,7.4675,9.2396,1,6,1518765567,2015-04-02,1427932800.0
1717,02 April 2015,2015,1,Violence against civilians,4,47,7.3833,8.7333,1,9,1518765567,2015-04-02,1427932800.0
1719,01 April 2015,2015,1,Violence against civilians,3,37,4.5687,7.9786,1,0,1524053922,2015-04-01,1427846400.0
1721,01 April 2015,2015,1,Violence against civilians,3,37,11.4401,8.1958,1,1,1524053922,2015-04-01,1427846400.0
1723,01 April 2015,2015,1,Battle-No change of territory,8,28,13.6738,13.3357,1,9,1524053922,2015-04-01,1427846400.0
1725,01 April 2015,2015,1,Violence against civilians,5,57,7.621,5.2215,1,0,1524053922,2015-04-01,1427846400.0
1727,31 March 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-03-31,1427760000.0
1728,31 March 2015,2015,1,Riots/Protests,6,60,5.5263,7.4896,1,0,1518765567,2015-03-31,1427760000.0
1729,30 March 2015,2015,1,Riots/Protests,6,60,4.9667,8.3333,1,0,1518765567,2015-03-30,1427673600.0
1730,30 March 2015,2015,1,Battle-No change of territory,1,12,10.8231,10.7717,1,0,1524053922,2015-03-30,1427673600.0
1732,30 March 2015,2015,1,Riots/Protests,5,50,4.9247,6.2642,1,0,1518765567,2015-03-30,1427673600.0
1733,30 March 2015,2015,1,Riots/Protests,6,60,5.0333,7.9266,1,0,1518765567,2015-03-30,1427673600.0
1734,30 March 2015,2015,1,Battle-No change of territory,4,24,9.7583,9.5572,1,4,1524053922,2015-03-30,1427673600.0
1736,30 March 2015,2015,2,Riots/Protests,6,60,10.4123,8.6875,1,0,1518765567,2015-03-30,1427673600.0
1737,30 March 2015,2015,1,Riots/Protests,6,16,4.7774,7.0134,1,0,1524053922,2015-03-30,1427673600.0
1739,30 March 2015,2015,1,Battle-No change of territory,4,24,10.2241,9.8626,1,3,1524053922,2015-03-30,1427673600.0
1741,30 March 2015,2015,1,Riots/Protests,6,60,7.3878,3.8964,1,0,1523534007,2015-03-30,1427673600.0
1742,30 March 2015,2015,1,Battle-No change of territory,1,12,10.8222,10.6012,1,4,1524053922,2015-03-30,1427673600.0
1744,30 March 2015,2015,1,Riots/Protests,6,60,6.4426,7.5022,1,0,1518765567,2015-03-30,1427673600.0
1745,30 March 2015,2015,1,Riots/Protests,6,60,6.2006,6.7339,2,0,1524053922,2015-03-30,1427673600.0
1746,30 March 2015,2015,1,Riots/Protests,5,15,9.794,8.863999999999999,1,0,1524053922,2015-03-30,1427673600.0
1748,30 March 2015,2015,1,Strategic development,3,30,5.595,6.0005,1,0,1524053922,2015-03-30,1427673600.0
1749,29 March 2015,2015,1,Violence against civilians,1,17,9.7833,8.2833,2,1,1524053922,2015-03-29,1427587200.0
1751,29 March 2015,2015,1,Riots/Protests,6,16,4.7774,7.0134,1,0,1524053922,2015-03-29,1427587200.0
1753,29 March 2015,2015,1,Battle-No change of territory,1,13,10.4111,10.3926,2,0,1524053922,2015-03-29,1427587200.0
1755,29 March 2015,2015,1,Violence against civilians,5,57,9.9285,8.8921,1,0,1518765567,2015-03-29,1427587200.0
1757,29 March 2015,2015,1,Violence against civilians,2,27,10.2491,10.0948,1,1,1524053922,2015-03-29,1427587200.0
1759,29 March 2015,2015,1,Battle-No change of territory,1,12,10.2793,9.9397,1,10,1524053922,2015-03-29,1427587200.0
1761,29 March 2015,2015,1,Strategic development,2,20,10.3134,9.8433,1,0,1524053922,2015-03-29,1427587200.0
1762,29 March 2015,2015,1,Battle-No change of territory,1,13,10.2661,10.3353,2,1,1524053922,2015-03-29,1427587200.0
1764,29 March 2015,2015,1,Riots/Protests,6,60,5.1066,7.3667,1,0,1518765567,2015-03-29,1427587200.0
1765,29 March 2015,2015,1,Battle-Government regains territory,1,12,13.6169,13.2644,1,50,1524053922,2015-03-29,1427587200.0
1767,28 March 2015,2015,1,Riots/Protests,5,55,5.8538,6.8603,1,0,1518765567,2015-03-28,1427500800.0
1769,28 March 2015,2015,2,Violence against civilians,3,37,6.6143,3.3244,1,0,1524053922,2015-03-28,1427500800.0
1771,28 March 2015,2015,1,Strategic development,3,37,5.1598,7.3224,1,0,1520877058,2015-03-28,1427500800.0
1773,28 March 2015,2015,1,Riots/Protests,5,55,7.2,4.4667,1,1,1518765567,2015-03-28,1427500800.0
1775,28 March 2015,2015,1,Violence against civilians,2,27,11.0956,11.3327,1,0,1524053922,2015-03-28,1427500800.0
1777,28 March 2015,2015,1,Violence against civilians,3,37,4.7860000000000005,7.1269,2,1,1518765567,2015-03-28,1427500800.0
1779,28 March 2015,2015,1,Violence against civilians,2,27,10.7312,12.1463,1,25,1524053922,2015-03-28,1427500800.0
1781,28 March 2015,2015,1,Violence against civilians,3,37,4.728,7.3015,1,1,1518765567,2015-03-28,1427500800.0
1783,28 March 2015,2015,1,Violence against civilians,5,57,12.0001,8.5167,1,0,1518765567,2015-03-28,1427500800.0
1785,28 March 2015,2015,1,Riots/Protests,5,50,9.9285,8.8921,1,0,1518765567,2015-03-28,1427500800.0
1786,28 March 2015,2015,1,Riots/Protests,5,55,7.75,4.7167,1,0,1518765567,2015-03-28,1427500800.0
1788,28 March 2015,2015,1,Violence against civilians,3,37,7.9167,4.6667,1,1,1518765567,2015-03-28,1427500800.0
1790,28 March 2015,2015,1,Riots/Protests,5,55,7.9167,4.6667,1,0,1518765567,2015-03-28,1427500800.0
1792,28 March 2015,2015,1,Violence against civilians,5,57,6.2667,5.7167,2,1,1518765567,2015-03-28,1427500800.0
1794,28 March 2015,2015,1,Violence against civilians,2,27,10.8231,10.7717,1,5,1524053922,2015-03-28,1427500800.0
1796,28 March 2015,2015,1,Riots/Protests,5,55,7.2263,5.3954,1,0,1518765567,2015-03-28,1427500800.0
1798,28 March 2015,2015,1,Strategic development,3,30,10.9938,10.4118,2,0,1520877058,2015-03-28,1427500800.0
1799,28 March 2015,2015,1,Violence against civilians,2,27,10.908,11.2751,1,5,1524053922,2015-03-28,1427500800.0
1801,28 March 2015,2015,1,Remote violence,3,37,6.2101,7.0741,1,0,1518765567,2015-03-28,1427500800.0
1803,28 March 2015,2015,1,Violence against civilians,2,27,10.9106,11.2921,1,4,1524053922,2015-03-28,1427500800.0
1805,28 March 2015,2015,1,Violence against civilians,3,37,7.0667,6.2667,1,0,1518765567,2015-03-28,1427500800.0
1807,28 March 2015,2015,2,Riots/Protests,6,60,6.11,7.0724,1,0,1524053922,2015-03-28,1427500800.0
1808,28 March 2015,2015,1,Battle-No change of territory,1,13,4.7192,7.2114,2,1,1524053922,2015-03-28,1427500800.0
1810,28 March 2015,2015,1,Strategic development,3,13,5.1066,7.3667,1,0,1524053922,2015-03-28,1427500800.0
1812,27 March 2015,2015,1,Battle-No change of territory,3,33,4.7774,7.0134,3,3,1524053922,2015-03-27,1427414400.0
1814,27 March 2015,2015,1,Riots/Protests,5,55,10.4581,12.165999999999999,1,0,1523276760,2015-03-27,1427414400.0
1816,27 March 2015,2015,1,Battle-Government regains territory,1,12,11.1036,13.713,1,10,1524053922,2015-03-27,1427414400.0
1818,27 March 2015,2015,1,Violence against civilians,2,27,10.9048,12.0886,1,23,1524053922,2015-03-27,1427414400.0
1820,26 March 2015,2015,1,Riots/Protests,6,60,6.4538,3.2059,1,0,1518765567,2015-03-26,1427328000.0
1821,26 March 2015,2015,1,Riots/Protests,5,55,6.5582,3.3466,1,0,1518765567,2015-03-26,1427328000.0
1823,26 March 2015,2015,1,Violence against civilians,3,37,4.8144,6.9578,1,0,1524053922,2015-03-26,1427328000.0
1825,26 March 2015,2015,1,Riots/Protests,6,60,9.0833,7.5333,1,0,1518765567,2015-03-26,1427328000.0
1826,26 March 2015,2015,1,Battle-Government regains territory,8,28,13.3747,12.795,1,0,1524053922,2015-03-26,1427328000.0
